OLDNAME   RENAMED   IFGLYCAM  G_TYPE    G_CHARGE  
C1        C1        YES       C         0.7890    
C2        C2        YES       Cy        0.2370    
O2        O3        YES       Oh        -0.6390   
C3        C4        YES       Cg        0.0060    
C4        C5        YES       Cg        0.3320    
C5        C6        YES       Cg        0.3080    
C6        C7        YES       Cg        0.2200    
C7        C8        YES       Cg        0.1110    
C8        C9        YES       Cg        0.4920    
C9        C10       YES       Cg        0.1780    
N5        N11       YES       Ng        -0.6290   
O1A       O12       YES       O2        -0.7610   
O1B       O13       YES       O2        -0.7610   
O4        O14       YES       Oh        -0.7620   
O6        O15       YES       Oy        -0.4030   
O7        O16       YES       Oh        -0.7210   
O8        O17       YES       Oh        -0.7390   
O9        O18       YES       Oh        -0.6890   
H2        H19       YES       Ho        0.4450    
H31       H20       YES       Hc        0.0000    
H32       H21       YES       Hc        0.0000    
H4        H22       YES       H1        0.0000    
H5        H23       YES       H1        0.0000    
H6        H24       YES       H1        0.0000    
H7        H25       YES       H1        0.0000    
H8        H26       YES       H1        0.0000    
H91       H27       YES       H1        0.0000    
H92       H28       YES       H1        0.0000    
H5N       H29       YES       H         0.2800    
H4        H30       YES       Ho        0.4150    
H7        H31       YES       Ho        0.4350    
H8        H32       YES       Ho        0.4120    
H9        H33       YES       Ho        0.4080    
C1        C34       NO        NONE      NONE      
O2        O35       NO        NONE      NONE      
C3        C36       NO        NONE      NONE      
C4        C37       NO        NONE      NONE      
C5        C38       NO        NONE      NONE      
C6        C39       NO        NONE      NONE      
C7        C40       NO        NONE      NONE      
C8        C41       NO        NONE      NONE      
C9        C42       NO        NONE      NONE      
C10       C43       NO        NONE      NONE      
P11       P44       NO        NONE      NONE      
C12       C45       NO        NONE      NONE      
C13       C46       NO        NONE      NONE      
C14       C47       NO        NONE      NONE      
C17       C48       NO        NONE      NONE      
C18       C49       NO        NONE      NONE      
C19       C50       NO        NONE      NONE      
C20       C51       NO        NONE      NONE      
C21       C52       NO        NONE      NONE      
C22       C53       NO        NONE      NONE      
C23       C54       NO        NONE      NONE      
C24       C55       NO        NONE      NONE      
C25       C56       NO        NONE      NONE      
C26       C57       NO        NONE      NONE      
C27       C58       NO        NONE      NONE      
C28       C59       NO        NONE      NONE      
O29       O60       NO        NONE      NONE      
C30       C61       NO        NONE      NONE      
C31       C62       NO        NONE      NONE      
C32       C63       NO        NONE      NONE      
C33       C64       NO        NONE      NONE      
C34       C65       NO        NONE      NONE      
C35       C66       NO        NONE      NONE      
C36       C67       NO        NONE      NONE      
C37       C68       NO        NONE      NONE      
C38       C69       NO        NONE      NONE      
C39       C70       NO        NONE      NONE      
C40       C71       NO        NONE      NONE      
C41       C72       NO        NONE      NONE      
C42       C73       NO        NONE      NONE      
H43       H74       NO        NONE      NONE      
H44       H75       NO        NONE      NONE      
H45       H76       NO        NONE      NONE      
H46       H77       NO        NONE      NONE      
H47       H78       NO        NONE      NONE      
H48       H79       NO        NONE      NONE      
H49       H80       NO        NONE      NONE      
H50       H81       NO        NONE      NONE      
H51       H82       NO        NONE      NONE      
H52       H83       NO        NONE      NONE      
H53       H84       NO        NONE      NONE      
H54       H85       NO        NONE      NONE      
H55       H86       NO        NONE      NONE      
H56       H87       NO        NONE      NONE      
H57       H88       NO        NONE      NONE      
H63       H89       NO        NONE      NONE      
H64       H90       NO        NONE      NONE      
H65       H91       NO        NONE      NONE      
H66       H92       NO        NONE      NONE      
H67       H93       NO        NONE      NONE      
H68       H94       NO        NONE      NONE      
H69       H95       NO        NONE      NONE      
H70       H96       NO        NONE      NONE      
H71       H97       NO        NONE      NONE      
H72       H98       NO        NONE      NONE      
H73       H99       NO        NONE      NONE      
H74       H100      NO        NONE      NONE      
H75       H101      NO        NONE      NONE      
H76       H102      NO        NONE      NONE      
H77       H103      NO        NONE      NONE      
H78       H104      NO        NONE      NONE      
H79       H105      NO        NONE      NONE      
H80       H106      NO        NONE      NONE      
H81       H107      NO        NONE      NONE      
H82       H108      NO        NONE      NONE      
H83       H109      NO        NONE      NONE      
H84       H110      NO        NONE      NONE      
H85       H111      NO        NONE      NONE      
H86       H112      NO        NONE      NONE      
H87       H113      NO        NONE      NONE      
H88       H114      NO        NONE      NONE      
H89       H115      NO        NONE      NONE      
H90       H116      NO        NONE      NONE      
H91       H117      NO        NONE      NONE      
H92       H118      NO        NONE      NONE      
H93       H119      NO        NONE      NONE      
H94       H120      NO        NONE      NONE      
H95       H121      NO        NONE      NONE      
H96       H122      NO        NONE      NONE      
H97       H123      NO        NONE      NONE      
H98       H124      NO        NONE      NONE      
H99       H125      NO        NONE      NONE      
